Platform,Category,AI Type,Device,Image Classification,Object Detection,Super Resolution,Style Transfer,Total Score
Android,AI,General Model,"1
nubia Z80 Ultra(S-8 Elite Gen 5  16+512)",573462,565924,887041,582858,2609285
Android,AI,General Model,"2
Red Magic 11 Pro(S-8 Elite Gen 5  16+512)",581604,541940,879661,578148,2581353
Android,AI,General Model,"3
HONOR Magic8 Pro(S-8 Elite Gen 5  16+512)",531315,530005,926765,590142,2578227
Android,AI,General Model,"4
OnePlus 15(S-8 Elite Gen 5  16+512)",549024,544137,895085,577430,2565676
Android,AI,General Model,"5
iQOO 15(S-8 Elite Gen 5  16+512)",560832,550865,842381,575035,2529113
Android,AI,General Model,"6
Poco F8 Ultra(S-8 Elite Gen 5  16+512)",547521,551004,772489,586842,2457856
Android,AI,General Model,"7
REDMI K90 Pro Max(S-8 Elite Gen 5  16+512)",522284,549653,779900,592262,2444099
Android,AI,General Model,"8
iQOO Neo10 Pro+(S-8 Elite  12+256)",461157,482829,559246,518727,2021959
Android,AI,General Model,"9
iQOO Neo11(S-8 Elite  12+256)",459170,476523,566531,519712,2021936
Android,AI,General Model,"10
iQOO 13(S-8 Elite  16+512)",465177,468730,562630,520669,2017206
Android,AI,General Model,"11
Mi 15 Pro(S-8 Elite  16+512)",441643,470357,576836,524924,2013760
Android,AI,General Model,"12
REDMI K90(S-8 Elite  12+512)",444924,460922,574938,527141,2007925
Android,AI,General Model,"13
Samsung Galaxy S25(S-8 Elite OC  12+256)",455115,465336,563267,515367,1999085
Android,AI,General Model,"14
OnePlus Ace 5 Pro(S-8 Elite  16+512)",452590,467951,563232,508161,1991934
Android,AI,General Model,"15
OnePlus Ace 6(S-8 Elite  12+256)",446726,464428,572258,508185,1991597
Android,AI,General Model,"16
Samsung Galaxy S25 Ultra(S-8 Elite OC  12+256)",452660,461520,558940,511269,1984389
Android,AI,General Model,"17
OnePlus 13(S-8 Elite  24+1024)",446270,457992,557639,509019,1970920
Android,AI,General Model,"18
REDMI K80 Pro(S-8 Elite  16+512)",434545,466280,526119,522554,1949498
Android,AI,General Model,"19
Mi 15(S-8 Elite  16+512)",416479,463431,536717,522667,1939294
Android,AI,General Model,"20
HONOR Magic 7 Pro(S-8 Elite  12+512)",412139,431844,570996,516704,1931683
Android,AI,General Model,"21
Mi 14(S-8 Gen 3  16+512)",332431,362043,487625,430972,1613071
Android,AI,General Model,"22
REDMI K80(S-8 Gen 3  12+256)",334549,363499,483976,430084,1612108
Android,AI,General Model,"23
Mi 14 Pro(S-8 Gen 3  16+1024)",324497,356086,485950,428853,1595386
Android,AI,General Model,"24
iQOO 12(S-8 Gen 3  16+512)",348769,365972,448979,425151,1588871
Android,AI,General Model,"25
iQOO Neo10(S-8 Gen 3  12+256)",349344,364537,449060,424611,1587552
Android,AI,General Model,"26
Samsung Galaxy S24 Ultra(S-8 Gen 3 OC  12+256)",350754,367204,443493,422808,1584259
Android,AI,General Model,"27
Samsung Galaxy Z Fold6(S-8 Gen 3 OC  12+512)",355634,369719,431337,425985,1582675
Android,AI,General Model,"28
Mi 14 Ultra(S-8 Gen 3  16+512)",324034,355746,466655,428827,1575262
Android,AI,General Model,"29
Mi 17 Pro Max(S-8 Elite Gen 5  16+512)",359672,471818,224069,518590,1574149
Android,AI,General Model,"30
OnePlus Ace 5(S-8 Gen 3  12+256)",346916,368507,422143,404433,1541999
Android,AI,General Model,"31
HONOR 400 Pro(S-8 Gen 3  12+512)",311185,337794,432765,372451,1454195
Android,AI,General Model,"32
iQOO Neo 10(S-8s Gen 4  8+256)",324055,319689,382951,352026,1378721
Android,AI,General Model,"33
iQOO Z10 Turbo Pro(S-8s Gen 4  12+256)",328985,319901,375173,353321,1377380
Android,AI,General Model,"34
OPPO K13 Turbo Pro 5G(S-8s Gen 4  12+256)",315139,310578,383091,354373,1363181
Android,AI,General Model,"35
Poco F7(S-8s Gen 4  12+512)",310548,312466,367212,354323,1344549
Android,AI,General Model,"36
REDMI Turbo 4 Pro(S-8s Gen 4  12+256)",305622,318960,343711,368243,1336536
Android,AI,General Model,"37
Mi 13 Ultra(S-8 Gen 2  16+512)",266635,279675,326448,324945,1197703
Android,AI,General Model,"38
Redmi K70(S-8 Gen 2  16+512)",271171,279842,313184,322653,1186850
Android,AI,General Model,"39
Mi 13(S-8 Gen 2  12+256)",266971,280108,314022,323248,1184349
Android,AI,General Model,"40
Samsung Galaxy S23 Ultra(S-8 Gen 2 OC  12+512)",267957,279267,301604,321800,1170628
Android,AI,General Model,"41
iQOO Neo9(S-8 Gen 2  12+256)",265154,280488,308437,298089,1152168
Android,AI,General Model,"42
OnePlus Ace 3(S-8 Gen 2  16+512)",265790,280020,294934,304968,1145712
Android,AI,General Model,"43
Redmi Turbo 3(S-8s Gen 3  12+256)",159635,207462,148059,253253,768409
Android,AI,General Model,"44
Poco F6(S-8s Gen 3  12+512)",157629,203906,145536,243745,750816
Android,AI,General Model,"45
OnePlus Nord 5(S-8s Gen 3  8+256)",156334,190953,138138,217698,703123
Android,AI,General Model,"46
Redmi Note 12 Turbo(S-7+ Gen 2  12+256)",151446,180950,160972,206925,700293
Android,AI,General Model,"47
Mi 13 Lite(S-7 Gen 1  8+256)",71557,83876,51164,170060,376657
Android,AI,General Model,"48
HUAWEI nova 9(S-778G 4G  8+128)",70837,83615,49985,151727,356164
Android,AI,General Model,"49
iQOO Z10 Turbo+(M-9400+  12+256)",168675,60902,4004,18318,251899
Android,AI,General Model,"50
REDMI K80 Ultra(M-9400+  16+512)",155672,60270,4565,26015,246522
Android,AI,General Model,"51
Mi 15T Pro(M-9400+  12+512)",152802,58993,4381,25565,241741
Android,AI,General Model,"52
vivo X200 Pro(M-9400  16+512)",159445,55899,3989,18959,238292
Android,AI,General Model,"53
iQOO Z9 Turbo+(M-9300+  12+256)",141794,55915,2444,14732,214885
Android,AI,General Model,"54
realme Neo7 Turbo(M-9400e  12+256)",147514,52893,2691,10330,213428
Android,AI,General Model,"55
OnePlus Ace 5 Ultra(M-9400+  12+256)",142177,53305,3292,11753,210527
Android,AI,General Model,"56
Mi 14T Pro(M-9300+  12+512)",139614,48395,2707,13268,203984
Android,AI,General Model,"57
Redmi K70 Ultra(M-9300+  12+512)",135843,48662,2729,16535,203769
Android,AI,General Model,"58
Infinix GT 30 Pro(M-8350  8+256)",137483,47371,2183,16444,203481
Android,AI,General Model,"59
Poco X6 Pro 5G(M-8300-Ultra  12+512)",133517,44251,1969,12250,191987
Android,AI,General Model,"60
iQOO Z10 Turbo(M-8400  12+256)",114561,39480,1746,13354,169141
Android,AI,General Model,"61
Poco X7 Pro(M-8400-Ultra  12+512)",109627,34915,1757,14198,160497
Android,AI,General Model,"62
Redmi K40(S-870  12+256)",33556,19866,4792,68254,126468
Android,AI,General Model,"63
iQOO Neo5(S-870  12+256)",33232,19968,4760,65766,123726
